QID_2022,Action,Argument,Notes
groupTime1569,Delete,,
groupTime1570,Delete,,
id,Delete,,
interviewtime,Delete,,
ipaddr,Delete,,
likert0Time,Delete,,
likert1Time,Delete,,
likert2Time,Delete,,
likert3Time,Delete,,
likert4Time,Delete,,
likert5Time,Delete,,
open1canTime,Delete,,
open1deTime,Delete,,
open3deTime,Delete,,
org1canTime,Delete,,
org2canTime,Delete,,
org3usTime,Delete,,
org4usTime,Delete,,
org5usTime,Delete,,
paper2modTime,Delete,,
prevEmp1qdeTime,Delete,,
prevEmp1Time,Delete,,
prevEmp2Time,Delete,,
proj1canTime,Delete,,
proj2canTime,Delete,,
proj4can[other],Delete,,
proj4canTime,Delete,,
proj5canTime,Delete,,
proj5zaf[other],Delete,,
proj5zafTime,Delete,,
proj6uk,Delete,,
proj6ukTime,Delete,,
proj6zafTime,Delete,,
proj7canTime,Delete,,
proj8canTime,Delete,,
refurl,Delete,,
rse1Time,Delete,,
rse3Time,Delete,,
rse4deTime,Delete,,
seed,Delete,,
skill2Time,Delete,,
socio10deqdeTime,Delete,,
socio11ausnzlqausTime,Delete,,
socio11ausnzlqnzlTime,Delete,,
socio12ausnzlqausTime,Delete,,
socio12ausnzlqnzlTime,Delete,,
socio13ausnzlqausTime,Delete,,
socio13ausnzlqnzlTime,Delete,,
socio14ausnzlqausTime,Delete,,
socio14ausnzlqnzlTime,Delete,,
socio1Time,Delete,,
socio2,Delete,,
socio20,Delete,,
socio20Time,Delete,,
socio2Time,Delete,,
socio3Time,Delete,,
socio4qausTime,Delete,,
socio4qdeTime,Delete,,
socio4qnlTime,Delete,,
socio4qnzlTime,Delete,,
socio4qukTime,Delete,,
socio4qusTime,Delete,,
socio4qzafTime,Delete,,
socio5quk[other],Delete,,
socio5quk[SQ001],Delete,,
socio5quk[SQ002],Delete,,
socio5quk[SQ003],Delete,,
socio5quk[SQ004],Delete,,
socio5quk[SQ005],Delete,,
socio5quk[SQ006],Delete,,
socio5quk[SQ007],Delete,,
socio5quk[SQ008],Delete,,
socio5quk[SQ009],Delete,,
socio5quk[SQ010],Delete,,
socio5quk[SQ011],Delete,,
socio5quk[SQ012],Delete,,
socio5quk[SQ013],Delete,,
socio5quk[SQ014],Delete,,
socio5quk[SQ015],Delete,,
socio5quk[SQ016],Delete,,
socio5quk[SQ017],Delete,,
socio5quk[SQ018],Delete,,
socio5quk[SQ019],Delete,,
socio5qukTime,Delete,,
socio5qus[other],Delete,,
socio5qus[SQ001],Delete,,
socio5qus[SQ002],Delete,,
socio5qus[SQ003],Delete,,
socio5qus[SQ004],Delete,,
socio5qus[SQ005],Delete,,
socio5qus[SQ006],Delete,,
socio5qus[SQ007],Delete,,
socio5qus[SQ008],Delete,,
socio5qus[SQ009],Delete,,
socio5qus[SQ010],Delete,,
socio5qus[SQ011],Delete,,
socio5qus[SQ012],Delete,,
socio5qus[SQ013],Delete,,
socio5qus[SQ014],Delete,,
socio5qus[SQ015],Delete,,
socio5qus[SQ016],Delete,,
socio5qusTime,Delete,,
socio5usqus,Delete,,
socio5usqusTime,Delete,,
soft1canTime,Delete,,
soft2canTime,Delete,,
stability1Time,Delete,,
stability2Time,Delete,,
tool2Time,Delete,,
tool4canTime,Delete,,
tool5canTime,Delete,,
tool5Time,Delete,,
train2Time,Delete,,
train3Time,Delete,,
turnOver3Time,Delete,,
turnOver6Time,Delete,,
ukrse12deTime,Delete,,
ukrse1Time,Delete,,
ukrse3Time,Delete,,
socio4qaus,Delete,,
socio4qde,Delete,,
socio4qnl,Delete,,
socio4qnzl,Delete,,
socio4quk,Delete,,
socio4qus,Delete,,
socio4qzaf,Delete,,
fund1can[other],Ignore,,
fund2[other],Ignore,,
org2can[other],Ignore,,
org3us,Ignore,,
org4us,Ignore,,
org5us,Ignore,,
proj5can[other],Ignore,,
socio10deqde,Ignore,,
socio11ausnzlqaus,Ignore,,
socio11ausnzlqaus[other],Ignore,,
socio11ausnzlqnzl,Ignore,,
socio11ausnzlqnzl[other],Ignore,,
socio12ausnzlqaus,Ignore,,
socio12ausnzlqaus[other],Ignore,,
socio12ausnzlqnzl,Ignore,,
socio12ausnzlqnzl[other],Ignore,,
socio13ausnzlqaus,Ignore,,
socio13ausnzlqaus[other],Ignore,,
socio13ausnzlqnzl,Ignore,,
socio13ausnzlqnzl[other],Ignore,,
socio14ausnzlqaus,Ignore,,
socio14ausnzlqnzl,Ignore,,
tool2[other],Ignore,,
tool4can[other],Ignore,,Multiple choice question
tool5[SQ003],Ignore,,Multiple choice question
tool5[SQ004],Ignore,,Multiple choice question
tool5[SQ005],Ignore,,Multiple choice question
tool5[SQ006],Ignore,,Multiple choice question
tool5[SQ007],Ignore,,Multiple choice question
tool5[SQ008],Ignore,,
tool5[SQ009],Ignore,,Multiple choice question
tool5can[SQ008],Ignore,,Multiple choice question
tool5can[SQ009],Ignore,,Multiple choice question
currentEmp13qaus[SQ001],Rename,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [Agricultural, veterinary and food sciences]",
currentEmp13qaus[SQ002],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Biological sciences],
currentEmp13qaus[SQ003],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Biomedical and clinical sciences],
currentEmp13qaus[SQ004],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Built environment and design],
currentEmp13qaus[SQ005],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Chemical sciences],
currentEmp13qaus[SQ006],Rename,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [Commerce, management, tourism and services]",
currentEmp13qaus[SQ007],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Creative arts and writing],
currentEmp13qaus[SQ008],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Earth sciences],
currentEmp13qaus[SQ009],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Economics],
currentEmp13qaus[SQ010],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Education],
currentEmp13qaus[SQ011],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Engineering],
currentEmp13qaus[SQ012],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Environmental sciences],
currentEmp13qaus[SQ013],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Health sciences],
currentEmp13qaus[SQ014],Rename,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [History, heritage and archaeology]",
currentEmp13qaus[SQ015],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Human society],
currentEmp13qaus[SQ016],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Indigenous studies],
currentEmp13qaus[SQ017],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Information and computing sciences],
currentEmp13qaus[SQ018],Rename,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [Language, communication and culture]",
currentEmp13qaus[SQ019],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Law and legal studies],
currentEmp13qaus[SQ020],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Mathematical sciences],
currentEmp13qaus[SQ021],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Philosophy and religious studies],
currentEmp13qaus[SQ022],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Physical sciences],
currentEmp13qaus[SQ023],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Psychology],
proj4can[SQ005],Rename,proj4can. How are your projects typically tested? Please check all that apply. [Don't know],There are more choices now than in 2018
proj4can[SQ006],Rename,proj4can. How are your projects typically tested? Please check all that apply. [Automated testing with continuous integration],There are more choices now than in 2018
currentEmp12,SearchReplace,currentEmp12,
currentEmp13[SQ001],SearchReplace,currentEmp13\..*\[Accounting & Finance\],
currentEmp13[SQ002],SearchReplace,currentEmp13\..*\[Aeronautical & Manufacturing Engineering\],
currentEmp13[SQ003],SearchReplace,currentEmp13\..*\[Agriculture & Forestry\],
currentEmp13[SQ004],SearchReplace,currentEmp13\..*\[American Studies\],
currentEmp13[SQ005],SearchReplace,currentEmp13\..*\[Anatomy & Physiology\],
currentEmp13[SQ006],SearchReplace,currentEmp13\..*\[Anthropology\],
currentEmp13[SQ007],SearchReplace,currentEmp13\..*\[Architecture\],
currentEmp13[SQ008],SearchReplace,currentEmp13\..*\[Art & Design\],
currentEmp13[SQ009],SearchReplace,currentEmp13\..*\[Biological Sciences\],
currentEmp13[SQ010],SearchReplace,currentEmp13\..*\[Business & Management Studies\],
currentEmp13[SQ011],SearchReplace,currentEmp13\..*\[Chemical Engineering\],
currentEmp13[SQ012],SearchReplace,currentEmp13\..*\[Chemistry\],
currentEmp13[SQ013],SearchReplace,currentEmp13\..*\[Civil Engineering\],
currentEmp13[SQ014],SearchReplace,currentEmp13\..*\[Classics & Ancient History\],
currentEmp13[SQ015],SearchReplace,currentEmp13\..*\[Communication & Media Studies\],
currentEmp13[SQ016],SearchReplace,currentEmp13\..*\[Complementary Medicine\],
currentEmp13[SQ017],SearchReplace,currentEmp13\..*\[Computer Science\],
currentEmp13[SQ018],SearchReplace,currentEmp13\..*\[Counselling\],
currentEmp13[SQ019],SearchReplace,currentEmp13\..*\[Criminology\],
currentEmp13[SQ020],SearchReplace,currentEmp13\..*\[Dentistry\],
currentEmp13[SQ021],SearchReplace,currentEmp13\..*\[East & South Asian Studies\],
currentEmp13[SQ022],SearchReplace,currentEmp13\..*\[Economics\],
currentEmp13[SQ023],SearchReplace,currentEmp13\..*\[Education\],
currentEmp13[SQ024],SearchReplace,currentEmp13\..*\[Electrical & Electronic Engineering\],
currentEmp13[SQ025],SearchReplace,currentEmp13\..*\[English\],
currentEmp13[SQ026],SearchReplace,currentEmp13\..*\[Fashion\],
currentEmp13[SQ027],SearchReplace,currentEmp13\..*\[Food Science\],
currentEmp13[SQ028],SearchReplace,currentEmp13\..*\[French\],
currentEmp13[SQ029],SearchReplace,currentEmp13\..*\[Geography & Environmental Sciences\],
currentEmp13[SQ030],SearchReplace,currentEmp13\..*\[Geology\],
currentEmp13[SQ031],SearchReplace,currentEmp13\..*\[General Engineering\],
currentEmp13[SQ032],SearchReplace,currentEmp13\..*\[German\],
currentEmp13[SQ033],SearchReplace,currentEmp13\..*\[History\],
currentEmp13[SQ034],SearchReplace,currentEmp13\..*\[History of Art,
currentEmp13[SQ035],SearchReplace,currentEmp13\..*\[Hospitality,
currentEmp13[SQ036],SearchReplace,currentEmp13\..*\[Iberian Languages/Hispanic Studies\],
currentEmp13[SQ037],SearchReplace,currentEmp13\..*\[Land & Property Management\],
currentEmp13[SQ038],SearchReplace,currentEmp13\..*\[Law\],
currentEmp13[SQ039],SearchReplace,currentEmp13\..*\[Librarianship & Information Management\],
currentEmp13[SQ040],SearchReplace,currentEmp13\..*\[Linguistics\],
currentEmp13[SQ041],SearchReplace,currentEmp13\..*\[Marketing\],
currentEmp13[SQ042],SearchReplace,currentEmp13\..*\[Materials Technology\],
currentEmp13[SQ043],SearchReplace,currentEmp13\..*\[Mathematics\],
currentEmp13[SQ044],SearchReplace,currentEmp13\..*\[Mechanical Engineering\],
currentEmp13[SQ045],SearchReplace,currentEmp13\..*\[Medicine\],
currentEmp13[SQ046],SearchReplace,currentEmp13\..*\[Middle Eastern and African Studies\],
currentEmp13[SQ047],SearchReplace,currentEmp13\..*\[Music\],
currentEmp13[SQ048],SearchReplace,currentEmp13\..*\[Nursing\],
currentEmp13[SQ049],SearchReplace,currentEmp13\..*\[Ophthalmics\],
currentEmp13[SQ050],SearchReplace,currentEmp13\..*\[Pharmacology & Pharmacy\],
currentEmp13[SQ051],SearchReplace,currentEmp13\..*\[Philosophy\],
currentEmp13[SQ052],SearchReplace,currentEmp13\..*\[Physics and Astronomy\],
currentEmp13[SQ053],SearchReplace,currentEmp13\..*\[Physiotherapy\],
currentEmp13[SQ054],SearchReplace,currentEmp13\..*\[Politics\],
currentEmp13[SQ055],SearchReplace,currentEmp13\..*\[Psychology\],
currentEmp13[SQ056],SearchReplace,currentEmp13\..*\[Robotics\],
currentEmp13[SQ057],SearchReplace,currentEmp13\..*\[Russian & East European Languages\],
currentEmp13[SQ058],SearchReplace,currentEmp13\..*\[Social Policy\],
currentEmp13[SQ059],SearchReplace,currentEmp13\..*\[Social Work\],
currentEmp13[SQ060],SearchReplace,currentEmp13\..*\[Sociology\],
currentEmp13[SQ061],SearchReplace,currentEmp13\..*\[Sports Science\],
currentEmp13[SQ062],SearchReplace,currentEmp13\..*\[Theology & Religious Studies\],
currentEmp13[SQ063],SearchReplace,currentEmp13\..*\[Town & Country Planning and Landscape Design\],
currentEmp13[SQ064],SearchReplace,currentEmp13\..*\[Veterinary Medicine\],
currentEmp13[SQ065],SearchReplace,currentEmp13\..*\[Youth Work\],
edu4,SearchReplace,edu4,
fund2[SQ002],SearchReplace,fund2\..*Donation button,Multiple choice question
fund2[SQ003],SearchReplace,fund2\..*Crowdfunding \(one-time\),Multiple choice question
fund2[SQ004],SearchReplace,fund2\..*Crowdfunding \(recurring\),Multiple choice question
fund2[SQ005],SearchReplace,fund2\..*Books & merchandise,Multiple choice question
fund2[SQ006],SearchReplace,fund2\..*Advertising & sponsorships,Multiple choice question
fund2[SQ007],SearchReplace,fund2\..*Industry support,Multiple choice question
fund2[SQ008],SearchReplace,fund2\..*Consulting & services,Multiple choice question
fund2[SQ009],SearchReplace,fund2\..*Grants,Multiple choice question
fund2[SQ010],SearchReplace,fund2\..*SaaS,Multiple choice question
fund2[SQ011],SearchReplace,fund2\..*Membership,Multiple choice question
fund2[SQ012],SearchReplace,fund2\..*Dual license,Multiple choice question
fund2[SQ013],SearchReplace,fund2\..*Open core,Multiple choice question
fund2[SQ014],SearchReplace,fund2\..*Foundations & consortiums,Multiple choice question
fund2[SQ015],SearchReplace,fund2\..*Venture capital,Multiple choice question
fund2[SQ016],SearchReplace,fund2\..*Trademark licensing & franchising,Multiple choice question
fund2[SQ017],SearchReplace,fund2\..*Institutional support,Multiple choice question
likert0[time1can],SearchReplace,time1can,
likert0[time2can],SearchReplace,time2can,
likert0[time3can],SearchReplace,time3can,
likert0[time4can],SearchReplace,time4can,
likert0[time5can],SearchReplace,time5can,
likert1[timeLie9zaf],SearchReplace,timeLike9zaf,
likert1[timeLike10zaf],SearchReplace,timeLike10zaf,
likert1[timeLike6zaf],SearchReplace,timeLike6zaf,
likert1[timeLike7zaf],SearchReplace,timeLike7zaf,
likert1[timeLike8zaf],SearchReplace,timeLike8zaf,
likert2[open2de],SearchReplace,open2de\..*(?<!_2017)$,
likert2[open3can],SearchReplace,open3can,
likert3[satisGen1],SearchReplace,satisGen1\..*position$,
likert3[satisGen2],SearchReplace,satisGen2,
likert4[recog1],SearchReplace,recog1\..*line manager,
likert4[recog2],SearchReplace,recog2\..*researchers you work with,
likert4[recog3],SearchReplace,recog3\..*your institution,
likert5[percEmp1],SearchReplace,percEmp1\..*institution$,
likert5[percEmp3],SearchReplace,percEmp3\..*market$,
likert5[progRSE1],SearchReplace,progRSE1,
likert5[progRSE2],SearchReplace,progRSE2,
likert5[progRSE3],SearchReplace,progRSE3,
likert5[progRSE5],SearchReplace,progRSE5,
org2can[SQ001],SearchReplace,org2can\..*\[Networking\],
org2can[SQ002],SearchReplace,org2can\..*\[Research collaborations\],
org2can[SQ003],SearchReplace,org2can\..*\[Training\],
org2can[SQ004],SearchReplace,org2can\..*\[Research software standards and interoperability definition\],
org2can[SQ005],SearchReplace,org2can\..*\[Job opportunities\],
prevEmp2[1],SearchReplace,prevEmp2\..*\[Rank 1\],
prevEmp2[2],SearchReplace,prevEmp2\..*\[Rank 2\],
prevEmp2[3],SearchReplace,prevEmp2\..*\[Rank 3\],
prevEmp2[4],SearchReplace,prevEmp2\..*\[Rank 4\],
prevEmp2[5],SearchReplace,prevEmp2\..*\[Rank 5\],
proj2can,SearchReplace,proj2can\..*(?<!_2017)$,
proj4can[SQ001],SearchReplace,proj4can\..*\[No formal testing\],There are more choices now than in 2018
proj4can[SQ002],SearchReplace,proj4can\..*\[No formal testing but users provide feedback\],There are more choices now than in 2018
proj4can[SQ003],SearchReplace,proj4can\..*\[The developers do their own testing\],There are more choices now than in 2018
proj4can[SQ004],SearchReplace,proj4can\..*\[Test engineers conduct testing\],There are more choices now than in 2018
proj5zaf[SQ001],SearchReplace,proj5zaf\..*CVS,Multiple choice question
proj5zaf[SQ002],SearchReplace,proj5zaf\..*SVN,Multiple choice question
proj5zaf[SQ003],SearchReplace,proj5zaf\..*Git,Multiple choice question
proj5zaf[SQ004],SearchReplace,proj5zaf\..*Mercurial,Multiple choice question
proj5zaf[SQ005],SearchReplace,proj5zaf\..*None,Multiple choice question
rse1,SearchReplace,rse1,
skill2,SearchReplace,skill2\..*non-technical.$,
socio1,SearchReplace,socio1,
tool4can[SQ001],SearchReplace,tool4can\..*Assembly,Multiple choice question
tool4can[SQ002],SearchReplace,tool4can\..*\[C\],Multiple choice question
tool4can[SQ003],SearchReplace,tool4can\..*\[C#\],Multiple choice question
tool4can[SQ004],SearchReplace,tool4can\..*\[C\+\+\],Multiple choice question
tool4can[SQ005],SearchReplace,tool4can\..*Clojure,Multiple choice question
tool4can[SQ006],SearchReplace,tool4can\..*CoffeeScript,Multiple choice question
tool4can[SQ007],SearchReplace,tool4can\..*Common Lisp,Multiple choice question
tool4can[SQ008],SearchReplace,tool4can\..*Dart,Multiple choice question
tool4can[SQ009],SearchReplace,tool4can\..*Elixir,Multiple choice question
tool4can[SQ010],SearchReplace,tool4can\..*Erlang,Multiple choice question
tool4can[SQ011],SearchReplace,tool4can\..*\[F#\],Multiple choice question
tool4can[SQ012],SearchReplace,tool4can\..*Fortran,Multiple choice question
tool4can[SQ013],SearchReplace,tool4can\..*Go,Multiple choice question
tool4can[SQ014],SearchReplace,tool4can\..*Groovy,Multiple choice question
tool4can[SQ015],SearchReplace,tool4can\..*Hack,Multiple choice question
tool4can[SQ016],SearchReplace,tool4can\..*Haskell,Multiple choice question
tool4can[SQ017],SearchReplace,tool4can\..*\[Java\],Multiple choice question
tool4can[SQ018],SearchReplace,tool4can\..*JavaScript,Multiple choice question
tool4can[SQ019],SearchReplace,tool4can\..*Julia,Multiple choice question
tool4can[SQ020],SearchReplace,tool4can\..*Lua,Multiple choice question
tool4can[SQ021],SearchReplace,tool4can\..*Matlab,Multiple choice question
tool4can[SQ022],SearchReplace,tool4can\..*Objective-C,Multiple choice question
tool4can[SQ023],SearchReplace,tool4can\..*Perl,Multiple choice question
tool4can[SQ024],SearchReplace,tool4can\..*PHP,Multiple choice question
tool4can[SQ025],SearchReplace,tool4can\..*Python,Multiple choice question
tool4can[SQ026],SearchReplace,tool4can\..*\[R\],Multiple choice question
tool4can[SQ027],SearchReplace,tool4can\..*Ruby,Multiple choice question
tool4can[SQ028],SearchReplace,tool4can\..*Rust,Multiple choice question
tool4can[SQ029],SearchReplace,tool4can\..*Scala,Multiple choice question
tool4can[SQ030],SearchReplace,tool4can\..*Smalltalk,Multiple choice question
tool4can[SQ031],SearchReplace,tool4can\..*SQL,Multiple choice question
tool4can[SQ032],SearchReplace,tool4can\..*Swift,Multiple choice question
tool4can[SQ033],SearchReplace,tool4can\..*TypeScript,Multiple choice question
tool4can[SQ034],SearchReplace,tool4can\..*VB.NET,Multiple choice question
tool4can[SQ035],SearchReplace,tool4can\..*VBA,Multiple choice question
tool4can[SQ036],SearchReplace,tool4can\..*Visual Basic,Multiple choice question
tool5can[SQ001],SearchReplace,tool5can\..*Compute Canada HPC,Multiple choice question
tool5can[SQ002],SearchReplace,tool5can\..*University compute centre,Multiple choice question
tool5can[SQ003],SearchReplace,tool5can\..*Other HPC,Multiple choice question
tool5can[SQ004],SearchReplace,tool5can\..*Cloud,Multiple choice question
tool5can[SQ005],SearchReplace,tool5can\..*Stand-alone server\(s\),Multiple choice question
tool5can[SQ006],SearchReplace,tool5can\..*Laptop\/desktop,Multiple choice question
tool5can[SQ007],SearchReplace,tool5can\..*Mobile,Multiple choice question
train3,SearchReplace,train3,
turnOver6,SearchReplace,turnOver6\..*offered it$,
ukrse1,SearchReplace,ukrse1\.,
ukrse3,SearchReplace,ukrse3,
conf1can,,conf1can,
conf2can,,conf2can,
currentEmp20deqde,,currentEmp20de,
currentEmp21deqde,,currentEmp21de,
currentEmp22deqde,,currentEmp22de,
currentEmp23deqde,,currentEmp23de,
currentEmp24deqde,,currentEmp24de,
fund1can,,fund1can,
open1can,,open1can,
open1de,,open1de,
open3de,,open3de,
org1can,,org1can,
paper2mod,,paper2mod,
proj1can,,proj1can,
proj5can,,proj5can,
proj6uk,,proj6uk,
proj6zaf,,proj6zaf,
proj7can,,proj7can,
proj8can,,proj8can,
socio11ausnzlqnzl,,socio11ausnzl,
socio12ausnzlqnzl,,socio12ausnzl,
socio13ausnzlqnzl,,socio13ausnzl,
socio14ausnzlqnzl,,socio14ausnzl,
socio3,,socio3,
stability1,,stability1,
stability2,,stability2,
tool2,,tool2,
train2,,train2,
turnOver3,,turnOver3,
ukrse12de,,ukrse12de,
