socio1. In which country do you work?,socio10deqde. Please select your remuneration group according to your collective bargaining agreement
Germany,E13
Germany,
Germany,E13
Germany,
Germany,E14
Germany,E15
Germany,E13
Germany,
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,E13
Germany,E15
Germany,E15
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,
Germany,
Germany,
Germany,E13
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,
Germany,E14
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,E14
Germany,
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,E14
Germany,E13
Germany,E13
Germany,
Germany,E14
Germany,E13
Germany,E13
Germany,E12
Germany,E13
Germany,E1-E7
Germany,E14
Germany,E13
Germany,E13
Germany,E13
Germany,E15
Germany,E12
Germany,E13
Germany,E11
Germany,
Germany,E15
Germany,E13
Germany,E13
Germany,E14
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,E14
Germany,E14
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,E14
Germany,
Germany,E13
Germany,E1-E7
Germany,E15
Germany,
Germany,E1-E7
Germany,
Germany,E13
Germany,E12
Germany,E13
Germany,E14
Germany,E14
Germany,E13
Germany,
Germany,E13
Germany,
Germany,E13
Germany,E14
Germany,E13
Germany,
Germany,E13
Germany,E14
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,
Germany,
Germany,E14
Germany,E15
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,E14
Germany,E13
Germany,E14
Germany,E13
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,
Germany,E13
Germany,E9
Germany,
Germany,E13
Germany,
Germany,E13
Germany,E14
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,E15
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,E14
Germany,E15
Germany,E13
Germany,
Germany,E13
Germany,E14
Germany,
Germany,E14
Germany,
Germany,E12
Germany,E13
Germany,E15
Germany,E14
Germany,E13
Germany,
Germany,E13
Germany,
Germany,E13
Germany,
Germany,
Germany,E11
Germany,E14
Germany,E13
Germany,E14
Greece,
Greece,
Greece,
Iceland,
Iceland,
India,
Israel,
Israel,
Israel,
Italy,
Italy,
Italy,
Italy,
Italy,
Italy,
Italy,
Italy,
Italy,
Italy,
Italy,
Japan,
Liechtenstein,
Luxembourg,
Luxembourg,
Luxembourg,
Mexico,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
Netherlands,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
New Zealand,
Norway,
Norway,
Norway,
Norway,
Norway,
Norway,
Norway,
Norway,
Norway,
Norway,
Norway,
Norway,
Pakistan,
Poland,
Poland,
Portugal,
Portugal,
Portugal,
Puerto Rico,
Saint Barthélemy,
Saudi Arabia,
Singapore,
South Africa,
South Africa,
Spain,
Spain,
Spain,
Spain,
Spain,
Spain,
Spain,
Spain,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Sweden,
Switzerland,
Switzerland,
Switzerland,
Switzerland,
Switzerland,
Switzerland,
Switzerland,
Ukraine,
Ukraine,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
United States of America,
Uruguay,
