Which university for World,Count,Percentage
Goethe University Frankfurt,1,0.2457002457002457
"The Open University, Milton Keynes",1,0.2457002457002457
"University of California, Berkeley",1,0.2457002457002457
University of Erlangen-Nuremberg,1,0.2457002457002457
"University of California, San Francisco",1,0.2457002457002457
The University of Sydney,1,0.2457002457002457
Dartmouth College,1,0.2457002457002457
Tufts University,1,0.2457002457002457
Oregon State University,1,0.2457002457002457
University of Wyoming,1,0.2457002457002457
AUT University,1,0.2457002457002457
Stanford University,1,0.2457002457002457
Indiana University at Bloomington,1,0.2457002457002457
Linköping University,1,0.2457002457002457
Åbo Akademi University,1,0.2457002457002457
The University of Queensland,1,0.2457002457002457
University of Texas at Dallas,1,0.2457002457002457
University of Freiburg,1,0.2457002457002457
Southern Methodist University,1,0.2457002457002457
University of Glasgow,1,0.2457002457002457
"University of East Anglia, Norwich",1,0.2457002457002457
University of Hanover,1,0.2457002457002457
Free University of Berlin,1,0.2457002457002457
University of Trier,1,0.2457002457002457
University of Duisburg-Essen,1,0.2457002457002457
University of Münster,1,0.2457002457002457
Chemnitz University of Technology,1,0.2457002457002457
Heidelberg University,1,0.2457002457002457
University of Connecticut,1,0.2457002457002457
Yale University,1,0.2457002457002457
University of Reading,1,0.2457002457002457
OtherUniversity College London,1,0.2457002457002457
Lehigh Univervsity,1,0.2457002457002457
University of Notre Dame,1,0.2457002457002457
Clemson University,1,0.2457002457002457
The Arctic University of Norway,1,0.2457002457002457
University of Canberra,1,0.2457002457002457
University of Rochester,1,0.2457002457002457
Swinburne University of Technology,1,0.2457002457002457
Macquarie University,1,0.2457002457002457
University of Leeds,1,0.2457002457002457
University of Tasmania,1,0.2457002457002457
Curtin University of Technology,1,0.2457002457002457
Case Western Reserve University,1,0.2457002457002457
University of St Andrews,1,0.2457002457002457
"University of Warwick, Coventry",1,0.2457002457002457
University of Otago,1,0.2457002457002457
"University of California, San Diego",1,0.2457002457002457
"University of California, Santa Barbara",1,0.2457002457002457
"OtherUniversity of Cambridge, UK",1,0.2457002457002457
University of Leicester,1,0.2457002457002457
"Universidad Nacional de San Juan, San Juan",1,0.2457002457002457
University of Konstanz,1,0.2457002457002457
University of Gothenburg,1,0.2457002457002457
OtherBundeswehr University Munich,1,0.2457002457002457
University of Western Sydney,1,0.2457002457002457
Otherdo not wish to specify,1,0.2457002457002457
